year,boro_cd,total_recycled,total_refuse,pct_recycled_annum,pct_recycled_2009,pct_change,pct_point_change,fp_100_mhhi,pct_black_nh,pct_foreign_born,pct_hispanic,pct_white_nh,poverty_rate,unemployment_cd
2017-01-01,308,6440.6,31084.499999999996,20.719651273142567,15.801353026643227,31.12580446880986,4.91829824649934,,58.1,29.3,12.6,21.6,20.4,5.1
2018-01-01,308,6798.499999999999,32352.2,21.01402686679731,15.801353026643227,32.98878160221348,5.212673840154082,,58.1,29.3,12.6,21.6,20.4,5.1
2019-01-01,308,5822.099999999999,27300.9,21.32567058228849,15.801353026643227,34.96104128760693,5.524317555645265,,58.1,29.3,12.6,21.6,20.4,5.1
2009-01-01,309,4777.100000000001,38043.8,12.55684237641876,12.55684237641876,0.0,0.0,,65.3,41.1,8.9,21.6,20.8,6.6
2010-01-01,309,4605.899999999999,37455.3,12.297058093247145,12.55684237641876,-2.0688663231090643,-0.2597842831716157,,65.3,41.1,8.9,21.6,20.8,6.6
2011-01-01,309,4615.8,38737.4,11.915616432698116,12.55684237641876,-5.106585911477568,-0.6412259437206451,,65.3,41.1,8.9,21.6,20.8,6.6
2012-01-01,309,4508.4,37559.8,12.00325880329501,12.55684237641876,-4.408620866049562,-0.5535835731237508,,65.3,41.1,8.9,21.6,20.8,6.6
2013-01-01,309,4640.1,37083.4,12.51260671890927,12.55684237641876,-0.3522832905234474,-0.04423565750949088,,65.3,41.1,8.9,21.6,20.8,6.6
2014-01-01,309,4891.2,36633.7,13.351640702413354,12.55684237641876,6.329603431888198,0.7947983259945932,,65.3,41.1,8.9,21.6,20.8,6.6
2015-01-01,309,5053.5,35952.2,14.05616346148497,12.55684237641876,11.940271607469356,1.4993210850662102,,65.3,41.1,8.9,21.6,20.8,6.6
2016-01-01,309,5403.7,35520.299999999996,15.212990881270711,12.55684237641876,21.152997108891714,2.6561485048519504,,65.3,41.1,8.9,21.6,20.8,6.6
2017-01-01,309,5659.700000000001,36292.4,15.594725066405088,12.55684237641876,24.193046300329037,3.0378826899863274,,65.3,41.1,8.9,21.6,20.8,6.6
2018-01-01,309,5940.2,36126.3,16.442868491929698,12.55684237641876,30.94747866556593,3.886026115510937,,65.3,41.1,8.9,21.6,20.8,6.6
2019-01-01,309,5162.999999999999,30588.299999999996,16.879002755955707,12.55684237641876,34.42075841975836,4.322160379536946,,65.3,41.1,8.9,21.6,20.8,6.6
2009-01-01,310,11419.0,40037.50000000001,28.520761785825783,28.520761785825783,0.0,0.0,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2010-01-01,310,10813.5,39181.4,27.59855441612602,28.520761785825783,-3.2334598094714284,-0.9222073696997626,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2011-01-01,310,10754.000000000002,41061.2,26.190174666108156,28.520761785825783,-8.171545827628911,-2.3305871197176273,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2012-01-01,310,10349.4,40043.9,25.84513496437659,28.520761785825783,-9.381330139571942,-2.6756268214491925,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2013-01-01,310,10561.000000000002,39678.6,26.61636247246627,28.520761785825783,-6.6772385943280055,-1.9043993133595123,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2014-01-01,310,10791.9,38949.399999999994,27.707487149994613,28.520761785825783,-2.8515179290735215,-0.8132746358311707,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2015-01-01,310,11104.9,38544.600000000006,28.810520799281864,28.520761785825783,1.0159581838381504,0.2897590134560808,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2016-01-01,310,11447.0,37989.5,30.1320101607023,28.520761785825783,5.649387582898546,1.6112483748765172,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2017-01-01,310,11509.1,36873.5,31.21238830054104,28.520761785825783,9.437428547413273,2.6916265147152565,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2018-01-01,310,11512.8,37847.700000000004,30.41875728247687,28.520761785825783,6.654785418790432,1.8979954966510881,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2019-01-01,310,9490.9,32910.8,28.838253703951285,28.520761785825783,1.1131957852657637,0.31749191812550137,56000.0,1.7,39.4,15.9,55.9,19.0,4.5
2009-01-01,311,13674.699999999999,57768.0,23.67175598947514,23.67175598947514,0.0,0.0,35000.0,1.0,55.8,14.4,43.0,22.5,4.4
2010-01-01,311,13004.9,56422.799999999996,23.04901564615723,23.67175598947514,-2.630731508024975,-0.6227403433179113,35000.0,1.0,55.8,14.4,43.0,22.5,4.4
2011-01-01,311,12897.1,58205.299999999996,22.15794781574874,23.67175598947514,-6.394997373238653,-1.5138081737263995,35000.0,1.0,55.8,14.4,43.0,22.5,4.4
2012-01-01,311,12235.900000000001,57358.80000000001,21.332210576232416,23.67175598947514,-9.883277836603776,-2.3395454132427247,35000.0,1.0,55.8,14.4,43.0,22.5,4.4
2013-01-01,311,12623.5,57134.1,22.09451098380827,23.67175598947514,-6.662982697051034,-1.577245005666871,35000.0,1.0,55.8,14.4,43.0,22.5,4.4
2014-01-01,311,12878.8,57705.200000000004,22.318265944836856,23.67175598947514,-5.717742465916209,-1.353490044638285,35000.0,1.0,55.8,14.4,43.0,22.5,4.4
2015-01-01,311,13079.599999999999,58371.80000000001,22.407395351865105,23.67175598947514,-5.341220305634242,-1.2643606376100358,35000.0,1.0,55.8,14.4,43.0,22.5,4.4
2016-01-01,311,13402.1,58828.6,22.78160622554336,23.67175598947514,-3.760387545087729,-0.890149763931781,35000.0,1.0,55.8,14.4,43.0,22.5,4.4
2017-01-01,311,13466.3,58485.80000000001,23.02490519066166,23.67175598947514,-2.7325847693812078,-0.6468507988134817,35000.0,1.0,55.8,14.4,43.0,22.5,4.4
2018-01-01,311,13568.800000000001,59460.1,22.820008711724334,23.67175598947514,-3.598158405018659,-0.8517472777508068,35000.0,1.0,55.8,14.4,43.0,22.5,4.4
